1,"So, a senator from the party that's vehemently against a gun registry (Conservative) wanted to create a registry to… https://t.co/EUs2Bs78og"
2,"RT @BradTrostCPC: UPDATE:
UPDATE:
Results of the 46 amendments the Senate sent to the House on the Marijuana Bill . The House of Commons ha…"
3,"If there is fault in this, it lies with a government which is putting a platform against public safety and is willi… https://t.co/JAUL9IM0NX"
4,RT @anniewiz: @ElizabethMay we hope to hear from you as you debate #C45 especially the proposed SIN tax on #MedicalCannabis because it is a…
5,"RT @drowbb: Motions Respecting Senate Amendments to Bills #C45
https://t.co/UxgrHcr8tz the House disagrees with amendment 3 (provinces righ…"
6,RT @CanadaPotstocks: Bill #C45 being sent back to the Senate in what are likely the final procedural steps that could see the bill be appro…
7,@GPTaylorMRD @SenateCA #killthebill #c45 and #c46 both deeply flawed and based in hysteria. #cannabis should be les… https://t.co/inZgCKWEeB
8,Communiqué de presse: TI Canada appuie l’amendement proposé par le Sénat au projet de loi sur le cannabis (projet d… https://t.co/aU3Akfagho
9,"RT @trinafraser: I'm preparing a chart setting out all Senate amendments to #c45 and the proposed HOC position on each, but I'm having a he…"
10,"RT @drowbb: Motions Respecting Senate Amendments to Bills #C45
https://t.co/UxgrHcr8tz the House disagrees with amendment 3 (provinces righ…"
11,Singer #Songwriter @metheridge weighs in on #Canada upcoming #Marijuana #Legalization. 12 #Podcast guests in total… https://t.co/IWbyYQAn2l
12,@seancullihall time to get the bongs out of storage. Dust off your Chillims. #legalization
13,RT @CannabisCulture: Quebec Has Passed Its Long-awaited Cannabis Law. Here’s What’s in It #quebec #Canada #law #legalization https://t.co/P…
14,RT @LiveEyeCBCNews: #Freedom Leaf's State-by-State Guide to U.S. #Cannabis #Legalization - #Legalizeit #Tennessee https://t.co/gNOnxRTUyo
15,"RT @EliasTheodorou: Today is a truly historic day for Canada! The federal government adopted Bill C-45 (Cannabis Act), which legalizes acce…"
16,"RT @EliasTheodorou: Today is a truly historic day for Canada! The federal government adopted Bill C-45 (Cannabis Act), which legalizes acce…"
17,Why #Colorado’s Cannabis #Sales Plateaued Last Month https://t.co/y85miYGs62 #business #news #featured #legalization
18,RT @CannabisCulture: Quebec Has Passed Its Long-awaited Cannabis Law. Here’s What’s in It #quebec #Canada #law #legalization https://t.co/P…
19,RT @Exasalian: Free Kindle starting Thursday https://t.co/k4Kyxz6epo  #cannabis #marijuana #cannabisculture #marijuananews #Cannabispetitio…
20,"RT @SenateCA: Senator @senatcarignan moved an amendment related to Bill #C46, as amended. #SenCA #cdnpoli https://t.co/hVulOlEj0z"
21,@GPTaylorMRD @SenateCA #killthebill #c45 and #c46 both deeply flawed and based in hysteria. #cannabis should be les… https://t.co/inZgCKWEeB
22,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…
23,Let's all get baked and wait for our neighbours to the south to chill the f*ck out.… https://t.co/VBMR5hUZ4q
24,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…
25,"22 years, 4 months, 13 days later. The #CannabisAct will make the Hood Prophet's dream come true. #RoyalAssent #C45 https://t.co/qUkLoOJGyy"
26,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…"
27,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…"
28,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…"
29,Governor General presides over #RoyalAssent of the #CannabisAct https://t.co/c554CPmMHv
30,"Especially impressed with Ella from @spikedonline on #bbcqt
Her views on the #NHS and #CannabisAct are spot on."
31,"Instead, parents and grandparents are expected to be part of a new generation of the cannabis “naive” — and that’s… https://t.co/23OGw0PTln"
32,Thank you @sabrinarmf and @yvrscreenscene for this piece about #BudEmpire! Airing Tuesdays on @HistoryTVCanada 10pm… https://t.co/cBzJhaWbDg
33,RT @trichomics: DIY @VerpMedia headline: Liberals pass last second #CannabisAct amendment to make October officially summer.
34,"RT @J_MZed: @bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada, California…"
35,RT @TravelGoC: Canada’s border rules are not changing under the #CannabisAct. Learn more about #cannabis and international travel. https://…
36,"@bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada… https://t.co/R3OCPMDCO5"
37,"RT @CambsCSC: Class B drugs

Ketamine - Man made. Kills

Ritalin - Man made. Kills

Amphetamine - Man made. Kills

Cannabis - Natural. Neve…"
38,RT @HIGH_TIMES_Mag: Yesterday Canada legalized recreational cannabis! Here's what you need to know about Canada’s Cannabis Act. https://t.c…
39,"#Canada is to become the second country in the world to fully legalise #marijuana, after the senate approved… https://t.co/VLsVCMW9Qt"
40,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…
