,Tweet_Num,Tweet,Sentiment,tokenized_cleaned
0,1,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,Neutral,govcanhealth check topten things need know legalization regulation cannabis canada
1,2,Let's all get baked and wait for our neighbours to the south to chill the f*ck out.… https://t.co/VBMR5hUZ4q,Positive,let get baked wait neighbours south chill https
2,3,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,Neutral,govcanhealth check topten things need know legalization regulation cannabis canada
3,4,"22 years, 4 months, 13 days later. The #CannabisAct will make the Hood Prophet's dream come true. #RoyalAssent #C45 https://t.co/qUkLoOJGyy",Positive,years months days later cannabisact make hood prophet dream come true royalassent https
4,5,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",Negative,therickhoweshow look cannabisact introduces new cannabis offences replacing cannabis offences
5,6,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",Negative,jodieemery momentarily discuss cannabisact good bad ugly new criminal
6,7,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",Negative,therickhoweshow look cannabisact introduces new cannabis offences replacing cannabis offences
7,8,Governor General presides over #RoyalAssent of the #CannabisAct https://t.co/c554CPmMHv,Neutral,governor general presides royalassent cannabisact https
8,9,"Especially impressed with Ella from @spikedonline on #bbcqt
Her views on the #NHS and #CannabisAct are spot on.",Positive,especially impressed ella spikedonline bbcqt views nhs cannabisact spot
9,10,"Instead, parents and grandparents are expected to be part of a new generation of the cannabis “naive” — and that’s… https://t.co/23OGw0PTln",Negative,instead parents grandparents expected part new generation cannabis naive https
10,11,Thank you @sabrinarmf and @yvrscreenscene for this piece about #BudEmpire! Airing Tuesdays on @HistoryTVCanada 10pm… https://t.co/cBzJhaWbDg,Positive,thank sabrinarmf yvrscreenscene piece budempire airing tuesdays historytvcanada https
11,12,RT @trichomics: DIY @VerpMedia headline: Liberals pass last second #CannabisAct amendment to make October officially summer.,Negative,trichomics diy verpmedia headline liberals pass last second cannabisact amendment make october officially summer
12,13,"RT @J_MZed: @bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada, California…",Positive,bbcquestiontime bbcqt ffs enough research netherlands portugal canada
13,14,RT @TravelGoC: Canada’s border rules are not changing under the #CannabisAct. Learn more about #cannabis and international travel. https://…,Neutral,travelgoc canada border rules changing cannabisact learn cannabis international travel https
14,15,"@bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada… https://t.co/R3OCPMDCO5",Positive,bbcquestiontime bbcqt ffs enough research netherlands portugal https
15,16,"RT @CambsCSC: Class B drugs

Ketamine - Man made. Kills

Ritalin - Man made. Kills

Amphetamine - Man made. Kills

Cannabis - Natural. Neve…",Positive,cambscsc class drugs ketamine man made kills ritalin man made kills amphetamine man made kills cannabis natural
16,17,RT @HIGH_TIMES_Mag: Yesterday Canada legalized recreational cannabis! Here's what you need to know about Canada’s Cannabis Act. https://t.c…,Positive,yesterday canada legalized recreational cannabis need know canada cannabis act https
17,18,"#Canada is to become the second country in the world to fully legalise #marijuana, after the senate approved… https://t.co/VLsVCMW9Qt",Neutral,canada become second country world fully legalise marijuana senate https
18,19,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,Neutral,govcanhealth check topten things need know legalization regulation cannabis canada
19,20,RT @ChristyandFras: Marijuana will be legal in Canada on October 17th. #legalization #CannabisAct https://t.co/sCmXmcoN6G,Neutral,christyandfras marijuana legal canada october legalization cannabisact https
20,21,"RT @UptheCypherPunx: ""Legalization"" 

#CannabisAct https://t.co/LdbNAOzWM6",Negative,upthecypherpunx legalization cannabisact https
21,22,"RT @UptheCypherPunx: ""Legalization"" 

#CannabisAct https://t.co/LdbNAOzWM6",Negative,upthecypherpunx legalization cannabisact https
22,23,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",Negative,therickhoweshow look cannabisact introduces new cannabis offences replacing cannabis offences
23,24,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…",Neutral,vineshpratap answer question today globaledmonton marijuana high equivalent alcohol yeg
24,25,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…",Neutral,vineshpratap answer question today globaledmonton marijuana high equivalent alcohol yeg
25,26,"an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC45 #CannabisAct",Neutral,answer question today globaledmonton marijuana high equivalent alcohol yeg cannabisact
